language,keyphrase,tfidf
python,django model,0.04402910910180442
python,importerror module named,0.042582951046605734
python,command line,0.041191664955217616
python,scikit learn,0.04093771916647586
python,list comprehension,0.04084972169593547
python,importerror module,0.03902895791043231
python,setup py,0.0387726432308769
python,django rest framework,0.03850753114040936
python,beautiful soup,0.03798046183292023
python,django rest,0.036654331954160624
python,subprocess popen,0.036519190461902856
python,django template,0.034529734015519224
python,nonetype object,0.033603244419045435
python,pip install,0.03174717283348724
python,rest framework,0.030931925699713612
python,syntax error,0.029863236454587442
python,numpy arrays,0.02864480632895053
c,segmentation fault,0.33274402589835483
c,linked list,0.2929727383165621
c,char array,0.17394921545732378
c,linux kernel,0.1178991711345942
c,2d array,0.11740702019008672
c,text file,0.10869002565161161
c,undefined reference,0.08961717909965905
c,command line,0.08812336666239688
c,array pointers,0.08741203603090598
c,pointer array,0.08188729706042089
c,memory allocation,0.07593494911473224
c,visual studio,0.07423065661670217
c,function pointer,0.07354799590090963
c,char pointer,0.07175346976733038
c,child process,0.06859856902868591
c,header file,0.06698387456289741
c,array pointer,0.06285209204198972
c,kernel module,0.06235989217036386
c,seg fault,0.061034201417942614
c,array function,0.06074655568999847
c,floating point,0.058567307055379686
c,return value,0.058022494896724994
c,shared memory,0.057286877131743
c,dimensional array,0.05597944930176989
c,pointer struct,0.055346426375410325
c,void pointer,0.0551276657968514
c,pointer function,0.05441195396777966
c,array structs,0.052436602503602846
c,inline assembly,0.05115459904600161
sql,stored procedure,0.15700147915229914
sql,server 2008,0.10406585350624298
sql,select statement,0.06128133239205601
sql,inner join,0.05689742654857987
sql,ms access,0.055694818488611214
sql,server 2005,0.05334602965149037
sql,asp net,0.05243454239273664
sql,foreign key,0.05085819357711877
sql,primary key,0.04734911174261137
sql,select query,0.04656399955261903
sql,entity framework,0.042439001298456985
sql,multiple rows,0.03993235612827631
sql,multiple tables,0.03759985869087699
sql,left join,0.03446557464881103
sql,join tables,0.034129507290371924
sql,multiple columns,0.032468364328598495
sql,outer join,0.030383864697735873
sql,column value,0.030248928940603523
sql,data table,0.030073666959535193
sql,case statement,0.029420567677063386
sql,data type,0.02923396788207144
sql,syntax error,0.028518668667935648
sql,vb net,0.028477595263901513
sql,column table,0.028304339744094003
sql,rows table,0.02769412075305255
sql,update table,0.02734957861456117
sql,server 2012,0.02696007031033756
sql,server database,0.02636261722866803
sql,server query,0.026287935593459336
sql,table oracle,0.025585642887678655
html,background image,0.15632458569688276
html,inside div,0.1268483683073763
html,asp net,0.11871899496289695
html,parent div,0.09832042397187502
html,div height,0.08684190490942413
html,twitter bootstrap,0.08023095878020445
html,div css,0.07870047632416562
html,internet explorer,0.0754838237118813
html,inline block,0.07502561855048379
html,css div,0.07406438504644895
html,web page,0.07217575261948848
html,table cell,0.06762260934676374
html,background color,0.06582383669581075
html,center div,0.06578645813954481
html,dropdown menu,0.06321792286436709
html,css background,0.05877458204135372
html,height div,0.05816091584046202
html,vertical align,0.05769117960741171
html,jquery mobile,0.057377786391132994
html,position absolute,0.05438926596540756
html,submit button,0.05365588186841948
html,div width,0.05318149721996103
html,height 100,0.05318149721996103
html,radio button,0.05237354003760191
