count,name,Language
14692,jdbc,Java
14525,java-ee,Java
14198,javascript,Java
12362,web-services,Java
11738,sql,Java
11385,generics,Java
11070,netbeans,Java
10770,sockets,Java
10581,rest,Java
10048,javafx,Java
1250982,javascript,Javascript
416511,jquery,Javascript
231386,html,Javascript
107285,css,Javascript
93047,angularjs,Javascript
86694,php,Javascript
69077,ajax,Javascript
53321,node.js,Javascript
42552,html5,Javascript
41708,json,Javascript
29704,arrays,Javascript
27667,asp.net,Javascript
21631,regex,Javascript
18984,twitter-bootstrap,Javascript
18882,c#,Javascript
18036,forms,Javascript
16420,google-chrome,Javascript
15599,dom,Javascript
15053,d3.js,Javascript
15001,google-maps,Javascript
14198,java,Javascript
13300,canvas,Javascript
13040,reactjs,Javascript
12287,jquery-ui,Javascript
11935,ruby-on-rails,Javascript
11253,android,Javascript
11180,backbone.js,Javascript
11174,iframe,Javascript
10902,cordova,Javascript
10881,javascript-events,Javascript
66056,matlab,Matlab
5184,matrix,Matlab
4607,image-processing,Matlab
3472,plot,Matlab
2978,arrays,Matlab
2043,image,Matlab
2007,matlab-figure,Matlab
1702,python,Matlab
1539,c++,Matlab
1395,simulink,Matlab
1322,octave,Matlab
1241,user-interface,Matlab
1180,function,Matlab
1126,vector,Matlab
1109,vectorization,Matlab
1053,for-loop,Matlab
1022,matlab-guide,Matlab
1013,signal-processing,Matlab
974,mex,Matlab
957,computer-vision,Matlab
923,java,Matlab
845,performance,Matlab
837,string,Matlab
834,loops,Matlab
803,algorithm,Matlab
756,machine-learning,Matlab
746,optimization,Matlab
744,c,Matlab
744,neural-network,Matlab
705,math,Matlab
432952,mysql,MySQL
177514,php,MySQL
87283,sql,MySQL
33030,database,MySQL
19112,java,MySQL
11764,html,MySQL
10752,join,MySQL
9892,pdo,MySQL
9871,javascript,MySQL
8665,mysqli,MySQL
8537,jquery,MySQL
8361,select,MySQL
8188,c#,MySQL
7952,python,MySQL
7322,phpmyadmin,MySQL
6804,codeigniter,MySQL
5859,arrays,MySQL
5707,ajax,MySQL
5216,ruby-on-rails,MySQL
5109,hibernate,MySQL
5105,json,MySQL
5062,wordpress,MySQL
4946,sql-server,MySQL
4919,android,MySQL
4881,database-design,MySQL
4743,performance,MySQL
4680,jdbc,MySQL
4477,stored-procedures,MySQL
4420,date,MySQL
4360,laravel,MySQL
653412,python,Python
65091,django,Python
38075,python-2.7,Python
30444,python-3.x,Python
28100,pandas,Python
27253,numpy,Python
21719,list,Python
17245,matplotlib,Python
15158,regex,Python
15144,dictionary,Python
11988,string,Python
11459,tkinter,Python
11341,flask,Python
10555,google-app-engine,Python
10133,arrays,Python
9945,csv,Python
8551,json,Python
7947,mysql,Python
7659,linux,Python
7587,html,Python
7231,scipy,Python
7050,multithreading,Python
6831,sqlalchemy,Python
6628,windows,Python
6389,beautifulsoup,Python
6240,javascript,Python
5942,selenium,Python
5931,django-models,Python
5659,class,Python
5606,function,Python
373990,sql,SQL
87238,mysql,SQL
79906,sql-server,SQL
36593,php,SQL
33421,oracle,SQL
26976,database,SQL
23700,c#,SQL
22810,sql-server-2008,SQL
22201,tsql,SQL
16979,postgresql,SQL
11738,java,SQL
11152,join,SQL
9144,ms-access,SQL
8543,select,SQL
8389,asp.net,SQL
8183,stored-procedures,SQL
7869,sql-server-2005,SQL
7023,sqlite,SQL
5089,sql-server-2012,SQL
4947,plsql,SQL
4629,oracle11g,SQL
4336,vb.net,SQL
4203,linq,SQL
4128,group-by,SQL
4025,performance,SQL
3984,sql-server-2008-r2,SQL
3865,.net,SQL
3821,date,SQL
3810,database-design,SQL
3736,python,SQL
121638,swift,Swift
76010,ios,Swift
14208,xcode,Swift
8592,uitableview,Swift
7791,objective-c,Swift
5230,iphone,Swift
4733,swift2,Swift
4321,sprite-kit,Swift
3733,arrays,Swift
3711,parse.com,Swift
2931,core-data,Swift
2892,osx,Swift
2487,json,Swift
2465,ios8,Swift
2307,xcode6,Swift
2130,swift3,Swift
2049,uicollectionview,Swift
2030,uiviewcontroller,Swift
1953,uiview,Swift
1818,cocoa,Swift
1806,firebase,Swift
1770,alamofire,Swift
1417,uibutton,Swift
1372,segue,Swift
1338,autolayout,Swift
1208,uiscrollview,Swift
1197,xcode7,Swift
1175,string,Swift
1174,generics,Swift
1159,uiimageview,Swift
