language_pair,topic,count
mysql-javascript,forms,58
mysql-javascript,google-maps-api-3,46
mysql-javascript,codeigniter,35
mysql-javascript,arrays,31
mysql-javascript,drop-down-menu,31
mysql-javascript,html5,28
mysql-javascript,css,27
mysql-javascript,highcharts,25
mysql-javascript,xml,21
mysql-javascript,date,19
mysql-javascript,post,19
mysql-javascript,pdo,19
mysql-javascript,google-visualization,18
mysql-javascript,variables,17
mysql-javascript,facebook,15
mysql-javascript,node-mysql,14
mysql-javascript,wordpress,14
mysql-javascript,security,14
mysql-javascript,xmlhttprequest,13
mysql-javascript,jsp,13
mysql-javascript,checkbox,13
mysql-javascript,table,13
mysql-javascript,dynamic,12
mysql-java,jdbc,1218
mysql-java,hibernate,894
mysql-java,database,523
mysql-java,android,278
mysql-java,spring,224
mysql-java,jpa,224
mysql-java,php,220
mysql-java,jsp,184
mysql-java,swing,169
mysql-java,tomcat,156
mysql-java,servlets,141
mysql-java,prepared-statement,131
mysql-java,eclipse,127
mysql-java,netbeans,121
mysql-java,java-ee,96
mysql-java,connection-pooling,79
mysql-java,orm,70
mysql-java,jtable,68
mysql-java,json,67
mysql-java,date,62
mysql-java,resultset,60
mysql-java,multithreading,60
mysql-java,database-connection,60
mysql-java,blob,58
mysql-java,connection,57
mysql-java,utf-8,56
mysql-java,c3p0,55
mysql-java,performance,52
mysql-java,spring-mvc,52
mysql-java,insert,52
mysql-matlab,database,10
mysql-matlab,mysql-workbench,2
mysql-matlab,jdbc,2
mysql-matlab,c#-4.0,1
mysql-matlab,compilation,1
mysql-matlab,php,1
mysql-matlab,csv,1
mysql-matlab,image,1
mysql-matlab,dst,1
mysql-matlab,c#,1
mysql-matlab,zlib,1
mysql-matlab,timestamp,1
mysql-matlab,string,1
mysql-matlab,bigdata,1
mysql-matlab,mex,1
mysql-matlab,arrays,1
mysql-matlab,matlab-compiler,1
mysql-matlab,file-io,1
mysql-matlab,blob,1
mysql-matlab,bigint,1
mysql-matlab,windows-7-x64,1
mysql-matlab,perl,1
mysql-matlab,database-connection,1
mysql-matlab,driver,1
mysql-matlab,data-cleansing,1
mysql-html,php,2926
mysql-html,forms,236
mysql-html,database,202
mysql-html,jquery,166
mysql-html,css,151
mysql-html,table,111
mysql-html,ajax,108
mysql-html,phpmyadmin,57
mysql-html,checkbox,42
mysql-html,arrays,42
mysql-html,pdo,41
mysql-html,drop-down-menu,33
mysql-html,mysqli,30
mysql-html,image,28
mysql-html,codeigniter,27
mysql-html,loops,25
mysql-html,post,25
mysql-html,utf-8,24
mysql-html,encoding,20
mysql-html,select,20
mysql-html,xml,19
mysql-html,wordpress,19
mysql-html,security,19
mysql-html,html5,17
mysql-html,jsp,17
mysql-html,variables,17
mysql-html,character-encoding,16
mysql-html,perl,16
mysql-html,textarea,16
mysql-html,login,15
python-javascript,django,371
python-javascript,jquery,233
python-javascript,ajax,128
python-javascript,google-app-engine,105
python-javascript,json,100
python-javascript,flask,59
python-javascript,selenium,56
python-javascript,php,45
python-javascript,node.js,41
python-javascript,websocket,41
python-javascript,mechanize,32
python-javascript,ruby,32
python-javascript,screen-scraping,32
python-javascript,html5,31
python-javascript,web-scraping,31
python-javascript,regex,30
python-javascript,python-2.7,23
python-javascript,cgi,22
python-javascript,css,22
python-javascript,django-templates,20
python-javascript,forms,17
python-javascript,web2py,17
python-javascript,jinja2,16
python-javascript,tornado,16
python-javascript,web-applications,16
python-javascript,parsing,15
python-javascript,templates,15
python-javascript,browser,15
python-javascript,facebook,15
python-javascript,beautifulsoup,14
cpp-html,qt,28
cpp-html,parsing,16
cpp-html,html-parsing,11
cpp-html,css,9
cpp-html,user-interface,8
cpp-html,mfc,6
cpp-html,visual-cpp,6
cpp-html,cgi,6
cpp-html,xml,6
cpp-html,linux,5
cpp-html,sockets,5
cpp-html,string,4
cpp-html,qwebkit,4
cpp-html,.net,4
cpp-html,http,4
cpp-html,regex,4
cpp-html,webkit,4
cpp-html,php,4
cpp-html,c#,3
cpp-html,mshtml,3
cpp-html,dom,3
cpp-html,wxwidgets,3
cpp-html,embedded,3
cpp-html,winapi,3
cpp-html,visual-studio-2010,3
cpp-html,qt4,3
cpp-html,forms,3
cpp-html,url,3
cpp-html,text,3
cpp-html,website,2
sql-matlab,database,3
sql-matlab,postgresql,3
sql-matlab,sql-server,2
sql-matlab,fetch,1
sql-matlab,syntax,1
sql-matlab,.net,1
sql-matlab,group-by,1
sql-matlab,ms-access,1
sql-matlab,image,1
sql-matlab,data-transfer,1
sql-matlab,join,1
sql-matlab,odbc,1
sql-matlab,floating-point,1
sql-matlab,user-input,1
sql-matlab,sql-server-2008,1
sql-matlab,jdbc,1
html-matlab,matlab-uitable,2
html-matlab,regex,2
html-matlab,documentation,1
html-matlab,parsing,1
html-matlab,matlab-figure,1
html-matlab,url,1
html-matlab,latex,1
html-matlab,php,1
html-matlab,tags,1
html-matlab,office-interop,1
html-matlab,iframe,1
html-matlab,large-files,1
html-matlab,xml,1
html-matlab,html-helper,1
html-matlab,grep,1
html-matlab,shell,1
html-matlab,extract,1
html-matlab,string,1
html-matlab,export-to-excel,1
html-matlab,visualization,1
html-matlab,dendrogram,1
html-matlab,outlook,1
html-matlab,user-interface,1
html-matlab,header,1
html-matlab,terminal,1
html-matlab,email,1
html-matlab,anchor,1
html-javascript,jquery,27308
html-javascript,css,15832
html-javascript,php,5688
html-javascript,ajax,2756
html-javascript,html5,2397
html-javascript,dom,2345
html-javascript,forms,2214
html-javascript,iframe,1272
html-javascript,asp.net,1183
html-javascript,internet-explorer,924
html-javascript,javascript-events,855
html-javascript,image,851
html-javascript,css3,806
html-javascript,jquery-ui,715
html-javascript,table,702
html-javascript,json,690
html-javascript,google-chrome,611
html-javascript,twitter-bootstrap,541
html-javascript,xml,509
html-javascript,c#,493
html-javascript,jsp,480
html-javascript,browser,475
html-javascript,firefox,468
html-javascript,canvas,460
html-javascript,jquery-mobile,423
html-javascript,web,423
html-javascript,input,422
html-javascript,validation,409
html-javascript,regex,407
html-javascript,onclick,398
matlab-java,matlab-deployment,41
matlab-java,image-processing,21
matlab-java,user-interface,16
matlab-java,android,11
matlab-java,swing,10
matlab-java,classpath,9
matlab-java,jar,8
matlab-java,arrays,8
matlab-java,javabuilders,6
matlab-java,fft,6
matlab-java,class,5
matlab-java,hashmap,5
matlab-java,xml,5
matlab-java,c#,5
matlab-java,matlab-compiler,5
matlab-java,import,5
matlab-java,matlab-guide,5
matlab-java,plot,5
matlab-java,object,4
matlab-java,image,4
matlab-java,sockets,4
matlab-java,octave,4
matlab-java,dll,4
matlab-java,signal-processing,4
matlab-java,audio,4
matlab-java,jni,4
matlab-java,interface,3
matlab-java,algorithm,3
matlab-java,osx,3
matlab-java,matlab-figure,3
cpp-java,jni,452
cpp-java,c#,233
cpp-java,android,192
cpp-java,algorithm,86
cpp-java,oop,67
cpp-java,android-ndk,65
cpp-java,swig,61
cpp-java,sockets,57
cpp-java,dll,46
cpp-java,performance,45
cpp-java,windows,43
cpp-java,opencv,42
cpp-java,php,41
cpp-java,qt,40
cpp-java,eclipse,37
cpp-java,multithreading,37
cpp-java,jna,35
cpp-java,jvm,34
cpp-java,networking,33
cpp-java,arrays,33
cpp-java,generics,31
cpp-java,string,29
cpp-java,.net,29
cpp-java,linux,29
cpp-java,pointers,28
cpp-java,data-structures,26
cpp-java,programming-languages,25
cpp-java,class,24
cpp-java,templates,24
cpp-java,object,22
sql-c,database,10
sql-c,sqlite,9
sql-c,postgresql,9
sql-c,oracle,7
sql-c,db2,5
sql-c,sqlite3,5
sql-c,embedded-sql,4
sql-c,odbc,4
sql-c,parsing,3
sql-c,windows,3
sql-c,sql-server,3
sql-c,database-design,3
sql-c,libpq,3
sql-c,asynchronous,2
sql-c,embedded,2
sql-c,linux,2
sql-c,cursor,2
sql-c,sql-server-2008,2
sql-c,sql-server-2005,1
sql-c,client,1
sql-c,procedural-programming,1
sql-c,oracle-pro-c,1
sql-c,package,1
sql-c,stored-procedures,1
sql-c,error-handling,1
sql-c,compiler-construction,1
sql-c,user-defined-functions,1
sql-c,null,1
sql-c,printf,1
sql-c,point-of-sale,1
javascript-c,node.js,8
javascript-c,php,7
javascript-c,webkit,5
javascript-c,spidermonkey,5
javascript-c,ajax,5
javascript-c,cgi,3
javascript-c,objective-c,3
javascript-c,c#,2
javascript-c,compiler-construction,2
javascript-c,memory,2
javascript-c,websocket,2
javascript-c,code-translation,2
javascript-c,arduino,2
javascript-c,geometry,2
javascript-c,function,2
javascript-c,iphone,2
javascript-c,jsctypes,2
javascript-c,ascii,2
javascript-c,jquery,2
javascript-c,floating-point,2
javascript-c,firefox-addon,2
javascript-c,ios,2
javascript-c,css,2
javascript-c,bind,1
javascript-c,ruby,1
javascript-c,serialization,1
javascript-c,binary,1
javascript-c,content-type,1
javascript-c,website,1
javascript-c,windows,1
html-c,cgi,18
html-c,libxml2,9
html-c,parsing,8
html-c,html-parsing,7
html-c,linux,5
html-c,forms,4
html-c,flash,3
html-c,file,3
html-c,http,3
html-c,get,2
html-c,grammar,2
html-c,webserver,2
html-c,sockets,2
html-c,post,2
html-c,bison,2
html-c,hyperlink,2
html-c,iphone,2
html-c,web-services,2
html-c,ruby,1
html-c,fopen,1
html-c,browser,1
html-c,arm,1
html-c,audio,1
html-c,graphics,1
html-c,image,1
html-c,entities,1
html-c,control,1
html-c,open-source,1
html-c,lighttpd,1
html-c,runtime,1
sql-javascript,php,189
sql-javascript,jquery,99
sql-javascript,ajax,58
sql-javascript,asp.net,46
sql-javascript,database,41
sql-javascript,html5,39
sql-javascript,c#,38
sql-javascript,sqlite,30
sql-javascript,json,26
sql-javascript,cordova,18
sql-javascript,sql-server,16
sql-javascript,web-sql,13
sql-javascript,google-maps,11
sql-javascript,postgresql,9
sql-javascript,oracle,8
sql-javascript,asp-classic,8
sql-javascript,node.js,8
sql-javascript,css,7
sql-javascript,vb.net,6
sql-javascript,loops,5
sql-javascript,adodb,5
sql-javascript,sql-injection,5
sql-javascript,ios,5
sql-javascript,select,5
sql-javascript,.net,5
sql-javascript,asynchronous,5
sql-javascript,web,5
sql-javascript,android,5
sql-javascript,xml,5
sql-javascript,arrays,5
python-html,django,343
python-html,beautifulsoup,258
python-html,parsing,176
python-html,regex,123
python-html,google-app-engine,110
python-html,lxml,102
python-html,forms,90
python-html,css,79
python-html,html-parsing,73
python-html,cgi,57
python-html,xml,54
python-html,flask,54
python-html,templates,47
python-html,django-templates,43
python-html,php,39
python-html,jinja2,37
python-html,jquery,37
python-html,xpath,36
python-html,web-scraping,35
python-html,table,33
python-html,python-2.7,32
python-html,tags,31
python-html,string,30
python-html,url,30
python-html,http,28
python-html,screen-scraping,27
python-html,web,27
python-html,post,25
python-html,mechanize,23
python-html,python-3.x,23
javascript-java,jsp,625
javascript-java,jquery,522
javascript-java,ajax,359
javascript-java,gwt,311
javascript-java,android,287
javascript-java,applet,248
javascript-java,servlets,244
javascript-java,json,226
javascript-java,rhino,194
javascript-java,jsf,167
javascript-java,spring,137
javascript-java,spring-mvc,118
javascript-java,php,108
javascript-java,java-ee,105
javascript-java,cordova,88
javascript-java,html5,81
javascript-java,jsf-2,79
javascript-java,struts2,78
javascript-java,regex,73
javascript-java,eclipse,67
javascript-java,struts,66
javascript-java,selenium,65
javascript-java,web-applications,57
javascript-java,browser,55
javascript-java,security,51
javascript-java,jstl,49
javascript-java,webview,46
javascript-java,jsni,46
javascript-java,css,46
javascript-java,primefaces,45
mysql-python,django,596
mysql-python,mysql-python,305
mysql-python,sqlalchemy,222
mysql-python,database,202
mysql-python,osx,66
mysql-python,php,66
mysql-python,python-2.7,61
mysql-python,django-models,50
mysql-python,unicode,41
mysql-python,utf-8,38
mysql-python,csv,35
mysql-python,flask,33
mysql-python,performance,27
mysql-python,insert,27
mysql-python,orm,24
mysql-python,encoding,23
mysql-python,postgresql,21
mysql-python,multithreading,21
mysql-python,sqlite,21
mysql-python,xml,21
mysql-python,json,21
mysql-python,pylons,20
mysql-python,flask-sqlalchemy,19
mysql-python,ubuntu,18
mysql-python,apache,18
mysql-python,linux,17
mysql-python,google-app-engine,17
mysql-python,dictionary,16
mysql-python,python-3.x,16
mysql-python,mysql-connector,16
mysql-sql,php,7211
mysql-sql,database,3575
mysql-sql,join,1737
mysql-sql,select,1204
mysql-sql,sql-server,701
mysql-sql,database-design,675
mysql-sql,group-by,604
mysql-sql,phpmyadmin,547
mysql-sql,performance,495
mysql-sql,sql-update,470
mysql-sql,count,399
mysql-sql,query-optimization,394
mysql-sql,stored-procedures,376
mysql-sql,subquery,365
mysql-sql,sql-order-by,345
mysql-sql,mysqli,339
mysql-sql,triggers,324
mysql-sql,oracle,322
mysql-sql,date,314
mysql-sql,table,314
mysql-sql,postgresql,313
mysql-sql,insert,309
mysql-sql,pdo,301
mysql-sql,optimization,299
mysql-sql,left-join,297
mysql-sql,greatest-n-per-group,296
mysql-sql,aggregate-functions,282
mysql-sql,c#,282
mysql-sql,indexing,280
mysql-sql,foreign-keys,217
cpp-sql,qt,50
cpp-sql,sqlite,43
cpp-sql,database,33
cpp-sql,sql-server,24
cpp-sql,odbc,22
cpp-sql,oracle,17
cpp-sql,sqlite3,17
cpp-sql,visual-cpp,10
cpp-sql,ado,10
cpp-sql,mfc,9
cpp-sql,postgresql,8
cpp-sql,visual-studio,7
cpp-sql,stored-procedures,7
cpp-sql,c#,6
cpp-sql,informix,6
cpp-sql,ms-access,6
cpp-sql,cppbuilder,6
cpp-sql,api,5
cpp-sql,parsing,5
cpp-sql,windows,4
cpp-sql,qtsql,4
cpp-sql,soci,4
cpp-sql,prepared-statement,4
cpp-sql,performance,3
cpp-sql,import,3
cpp-sql,select,3
cpp-sql,qt4,3
cpp-sql,insert,3
cpp-sql,decimal,3
cpp-sql,string,2
cpp-mysql,mysql-connector,55
cpp-mysql,qt,51
cpp-mysql,database,37
cpp-mysql,linux,24
cpp-mysql,connector,19
cpp-mysql,mysql++,17
cpp-mysql,linker,17
cpp-mysql,visual-studio-2010,14
cpp-mysql,odbc,12
cpp-mysql,windows,11
cpp-mysql,php,11
cpp-mysql,multithreading,11
cpp-mysql,database-connection,10
cpp-mysql,boost,10
cpp-mysql,blob,9
cpp-mysql,visual-studio,9
cpp-mysql,string,8
cpp-mysql,connection,8
cpp-mysql,visual-cpp,7
cpp-mysql,eclipse,7
cpp-mysql,segmentation-fault,7
cpp-mysql,datetime,6
cpp-mysql,gcc,6
cpp-mysql,prepared-statement,6
cpp-mysql,utf-8,6
cpp-mysql,cmake,6
cpp-mysql,qtsql,5
cpp-mysql,g++,5
cpp-mysql,api,5
cpp-mysql,netbeans,5
cpp-python,boost-python,226
cpp-python,boost,222
cpp-python,swig,194
cpp-python,qt,85
cpp-python,cython,65
cpp-python,opencv,54
cpp-python,ctypes,53
cpp-python,linux,49
cpp-python,numpy,41
cpp-python,pyqt,37
cpp-python,algorithm,37
cpp-python,windows,31
cpp-python,dll,30
cpp-python,c#,28
cpp-python,multithreading,27
cpp-python,embedding,26
cpp-python,python-c-api,25
cpp-python,performance,22
cpp-python,image-processing,20
cpp-python,arrays,19
cpp-python,api,18
cpp-python,python-embedding,17
cpp-python,sockets,16
cpp-python,gdb,16
cpp-python,string,16
cpp-python,scripting,16
cpp-python,cmake,15
cpp-python,pyside,15
cpp-python,shared-libraries,15
cpp-python,wrapper,15
cpp-c,linux,1130
cpp-c,windows,855
cpp-c,winapi,754
cpp-c,gcc,594
cpp-c,pointers,485
cpp-c,algorithm,436
cpp-c,arrays,394
cpp-c,visual-cpp,386
cpp-c,opencv,329
cpp-c,multithreading,324
cpp-c,sockets,291
cpp-c,compiler-construction,286
cpp-c,opengl,264
cpp-c,string,258
cpp-c,c#,236
cpp-c,unix,236
cpp-c,performance,234
cpp-c,visual-studio,231
cpp-c,memory,227
cpp-c,optimization,225
cpp-c,memory-management,215
cpp-c,objective-c,195
cpp-c,assembly,189
cpp-c,visual-studio-2010,175
cpp-c,linker,174
cpp-c,pthreads,164
cpp-c,dll,158
cpp-c,struct,155
cpp-c,c-preprocessor,154
cpp-c,macros,154
python-c,ctypes,104
python-c,python-c-api,78
python-c,swig,72
python-c,cython,61
python-c,linux,52
python-c,numpy,47
python-c,sockets,34
python-c,windows,30
python-c,python-c-extension,30
python-c,struct,29
python-c,gcc,27
python-c,performance,26
python-c,python-3.x,25
python-c,arrays,22
python-c,python-extensions,21
python-c,pointers,21
python-c,cpython,20
python-c,algorithm,19
python-c,string,18
python-c,compiler-construction,18
python-c,python-embedding,17
python-c,api,17
python-c,dll,16
python-c,multithreading,15
python-c,osx,15
python-c,python-2.7,14
python-c,gtk,14
python-c,distutils,13
python-c,regex,12
python-c,winapi,12
python-java,jython,208
python-java,google-app-engine,89
python-java,android,79
python-java,php,65
python-java,ruby,58
python-java,c#,56
python-java,django,43
python-java,sockets,38
python-java,perl,33
python-java,performance,28
python-java,linux,27
python-java,regex,25
python-java,xml,24
python-java,.net,24
python-java,jar,24
python-java,eclipse,23
python-java,parsing,23
python-java,algorithm,23
python-java,windows,20
python-java,string,19
python-java,hadoop,16
python-java,user-interface,15
python-java,multithreading,15
python-java,encryption,15
python-java,json,15
python-java,nlp,15
python-java,subprocess,15
python-java,programming-languages,14
python-java,machine-learning,14
python-java,swing,13
python-matlab,numpy,165
python-matlab,scipy,79
python-matlab,matplotlib,37
python-matlab,matrix,25
python-matlab,arrays,22
python-matlab,image-processing,16
python-matlab,octave,15
python-matlab,mat-file,12
python-matlab,linear-algebra,11
python-matlab,performance,10
python-matlab,interpolation,10
python-matlab,algorithm,9
python-matlab,image,9
python-matlab,plot,9
python-matlab,r,9
python-matlab,signal-processing,8
python-matlab,file-io,8
python-matlab,math,8
python-matlab,mlabwrap,7
python-matlab,opencv,7
python-matlab,statistics,7
python-matlab,mex,6
python-matlab,sparse-matrix,6
python-matlab,ipython,6
python-matlab,computer-vision,5
python-matlab,string,5
python-matlab,fread,5
python-matlab,simulink,5
python-matlab,machine-learning,5
python-matlab,porting,5
cpp-javascript,v8,44
cpp-javascript,qt,41
cpp-javascript,node.js,27
cpp-javascript,webkit,20
cpp-javascript,activex,16
cpp-javascript,c#,13
cpp-javascript,php,13
cpp-javascript,com,13
cpp-javascript,html5,12
cpp-javascript,qml,11
cpp-javascript,spidermonkey,10
cpp-javascript,windows,9
cpp-javascript,internet-explorer,9
cpp-javascript,browser,8
cpp-javascript,qwebview,8
cpp-javascript,firebreath,7
cpp-javascript,npapi,7
cpp-javascript,websocket,7
cpp-javascript,atl,7
cpp-javascript,embedded-v8,7
cpp-javascript,emscripten,6
cpp-javascript,qt4,6
cpp-javascript,qtwebkit,6
cpp-javascript,iwebbrowser2,6
cpp-javascript,google-nativeclient,5
cpp-javascript,ajax,5
cpp-javascript,qtscript,5
cpp-javascript,linux,5
cpp-javascript,jquery,5
cpp-javascript,regex,5
sql-java,jdbc,754
sql-java,hibernate,592
sql-java,oracle,424
sql-java,database,424
sql-java,android,244
sql-java,jpa,187
sql-java,sqlite,161
sql-java,prepared-statement,137
sql-java,postgresql,128
sql-java,sql-server,127
sql-java,resultset,102
sql-java,spring,100
sql-java,hql,91
sql-java,derby,82
sql-java,swing,79
sql-java,db2,67
sql-java,orm,65
sql-java,jsp,61
sql-java,java-ee,60
sql-java,sql-server-2008,54
sql-java,jooq,53
sql-java,date,53
sql-java,eclipse,49
sql-java,netbeans,47
sql-java,hsqldb,45
sql-java,ms-access,45
sql-java,performance,41
sql-java,oracle11g,39
sql-java,h2,39
sql-java,servlets,37
matlab-javascript,google-earth,2
matlab-javascript,google-earth-plugin,2
matlab-javascript,math,2
matlab-javascript,activex,1
matlab-javascript,urlread,1
matlab-javascript,websocket,1
matlab-javascript,fuzzy-logic,1
matlab-javascript,arduino,1
matlab-javascript,linear-algebra,1
matlab-javascript,html5,1
matlab-javascript,integration,1
matlab-javascript,c#,1
matlab-javascript,interface,1
matlab-javascript,d3.js,1
matlab-javascript,printf,1
matlab-javascript,string,1
matlab-javascript,java-ee,1
matlab-javascript,matlab-deployment,1
